"Symbol","Data","Cap","Float"
"DXC","Y",8130,251.31
"DX","Y",592.59,26.19
"DY","Y",2790,30.6
"E","Y",44890,1250
"EAF","Y",3200,267.16
"EAI","Y",NA,NA
"EARN","Y",149.42,12.02
"EAT","Y",3120,44.78
"EB","Y",2050,66.31
"EBF","Y",531.31,25.23
"EBR","Y",10010,599.71
"EBS","Y",3490,45.2
"EC","Y",26470,221.63
"ECC","Y",397.97,NA
"ECCB","Y",NA,NA
"ECCX","Y",NA,NA
"ECCY","Y",NA,NA
"ECL","Y",62110,284.11
"ECOM","Y",752.7,28.27
"ED","Y",26500,341.89
"EDD","Y",403.82,NA
"EDF","Y",147.08,NA
"EDI","Y",90.68,NA
"EDN","Y",124.6,20.34
"EDU","Y",25570,1420
"EEA","Y",80.4,NA
"EEX","Y",357.42,23.74
"EFC","Y",771.05,40.96
"EFF","Y",125.35,NA
"EFL","Y",NA,NA
"EFR","Y",518.82,NA
"EFT","Y",564.07,NA
"EFX","Y",22890,121.19
"EGF","Y",54.74,NA
"EGHT","Y",3520,103.16
"EGO","Y",1950,174.51
"EGP","Y",6150,38.83
"EGY","Y",146.51,52.87
"EHC","Y",8230,98.06
"EHI","Y",234.92,NA
"EHT","Y",211,NA
"EIC","Y",NA,NA
"EIG","Y",1130,28.06
"EIX","Y",23220,378.91
"EL","Y",109590,220
"ELAN","Y",14290,452.25
"ELC","Y",NA,NA
"ELF","Y",1480,46.2
"ELP","Y",3050,1220
"ELS","Y",12320,173.35
"ELVT","Y",99.95,25.84
"ELY","Y",5280,92.09
"EMD","Y",820.68,NA
"EME","Y",6490,53.84
"EMF","Y",316.46,NA
"EMN","Y",15460,134.73
"EMO","Y",264.59,NA
"EMP","Y",NA,NA
"EMR","Y",54790,595.86
"ENB","Y",75740,2020
"ENBA","Y",NA,NA
"ENBL","Y",3070,89.18
"ENIA","Y",11960,30.43
"ENIC","Y",5540,496.65
"ENJ","Y",NA,NA
"ENLC","Y",2220,257.55
"ENO","Y",NA,NA
"ENR","Y",3410,63.33
"ENS","Y",3930,41.9
"ENV","Y",3980,51.08
"ENVA","Y",1200,34.59
"ENZ","Y",163.38,44.13
"EOD","Y",238.08,NA
"EOG","Y",42980,581.91
"EOI","Y",694.46,NA
"EOS","Y",1140,NA
"EOT","Y",347.38,NA
"EPAC","Y",1600,59.42
"EPAM","Y",25260,53.12
"EPC","Y",2100,54.03
"EPD","Y",50180,1470
"EPR","Y",3560,73.77
"EPRT","Y",2890,105.87
"EPR","Y",3560,73.77
"EQC","Y",3460,119.13
"EQH","Y",14330,399.24
"EQNR","Y",65150,3230
"EQR","Y",27070,366.43
"EQS","Y",25.55,7.34
"EQT","Y",4920,272.19
"ERF","Y",1370,215.51
"ERJ","Y",2090,175.18
"ES","Y",30360,341.46
"ESE","Y",2830,25.42
"ESI","Y",4850,218.29
"ESNT","Y",5600,109.58
"ESRT","Y",1930,168.91
"ESS","Y",18860,63.49
"ESTC","Y",11570,67.86
"ESTE","Y",568.82,22.3
"ET","Y",22260,2310
"ETB","Y",431.46,NA
"ETG","Y",1530,NA
"ETH","Y",708.56,21.36
"ETJ","Y",696.58,NA
"ETM","Y",NA,NA
"ETN","Y",55940,397.89
"ETO","Y",444.25,NA
"ETR","Y",21220,199.62
"ETRN","Y",3550,380.24
"ETV","Y",1470,NA
"ETW","Y",1140,NA
"ETX","Y",241.25,NA
"ETY","Y",2020,NA
"EURN","Y",1730,180.37
"EV","Y",NA,NA
"EVA","Y",1910,25.77
"EVC","Y",324.85,56.84
"EVF","Y",252.95,NA
"EVG","Y",238.88,NA
"EVH","Y",1740,78.03
"EVN","Y",550.98,NA
"EVR","Y",6590,40.51
"EVRG","Y",14100,226.17
"EVRI","Y",1210,84.74
"EVT","Y",1990,NA
"EVTC","Y",2940,59.8
"EW","Y",54670,620.27
"EXD","Y",109.19,NA
"EXG","Y",2870,NA
"EXK","Y",883.02,156.41
"EXP","Y",5960,41.44
"EXPR","Y",220.46,62.6
"EXR","Y",19180,128.15
"EXTN","Y",103.63,31.91
"F","Y",47510,3840
"FAF","Y",6670,108.24
"FAM","Y",101.33,NA
"FBC","Y",2350,51.59
"FBHS","Y",13930,138.36
"FBK","Y",1980,32.73
"FBP","Y",2560,214.25
"FC","Y",429.31,11.82
"FCF","Y",1370,94.64
"FCN","Y",5000,34.14
"FCPT","Y",2190,72.67
"FCT","Y",317.78,NA
"FCX","Y",54000,1440
"FDEU","Y",227.46,NA
"FDP","Y",1370,34.44
"FDS","Y",11850,37.46
"FDX","Y",76100,244.82
"FE","Y",19380,541.22
"FEDU","Y",51.47,13.09
"FEI","Y",323.27,NA
"FENG","Y",111.44,30.88
"FEO","Y",71.38,NA
"FET","Y",104.11,3.94
"FF","Y",571.61,25.64
"FFA","Y",390.24,NA
"FFC","Y",1050,NA
"FFG","Y",1360,9.57
"FGB","Y",59.05,NA
