"Symbol","Security.Name","Data","Cap","Float"
"BANR","Banner Corporation - Common Stock","Y",1900,34.02
"BANX","StoneCastle Financial Corp - Common Stock","Y",130.98,NA
"BASI","Bioanalytical Systems, Inc. - Common Stock","Y",NA,NA
"BATRA","Liberty Media Corporation - Series A Liberty Braves Common Stock","Y",26850,42.49
"BATRK","Liberty Media Corporation - Series C Liberty Braves Common Stock","Y",1150,NA
"BBBY","Bed Bath & Beyond Inc. - Common Stock","Y",2920,120.12
"BBCP","Concrete Pumping Holdings, Inc.  - Common Stock","Y",408.06,26.61
"BBGI","Beasley Broadcast Group, Inc. - Class A Common Stock","Y",81.31,9
"BBI","Brickell Biotech, Inc. - Common Stock","Y",55.94,65.67
"BBIO","BridgeBio Pharma, Inc. - Common Stock","Y",8240,96.67
"BBQ","BBQ Holdings, Inc.  - Common Stock","Y",118.25,8.9
"BBSI","Barrett Business Services, Inc. - Common Stock","Y",518.85,7.26
"BCBP","BCB Bancorp, Inc. (NJ) - Common Stock","Y",234.27,14.8
"BCDA","BioCardia, Inc. - Common Stock","Y",61.38,8.22
"BCEL","Atreca, Inc. - Class A Common Stock","Y",358.04,21.9
"BCLI","Brainstorm Cell Therapeutics Inc. - Common Stock","Y",113.98,29.22
"BCML","BayCom Corp - Common Stock","Y",201.96,11.03
"BCOR","Blucora, Inc. - Common Stock","Y",765.56,46.68
"BCOV","Brightcove Inc. - Common Stock","Y",796.8,39.05
"BCOW","1895 Bancorp of Wisconsin, Inc. - Common Stock","Y",NA,NA
"BCPC","Balchem Corporation - Common Stock","Y",3930,32.11
"BCRX","BioCryst Pharmaceuticals, Inc. - Common Stock","Y",2060,175.06
"BCTG","BCTG Acquisition Corp. - Common Stock","Y",241.77,16.77
"BCYC","Bicycle Therapeutics plc - American Depositary Shares","Y",603.31,2.34
"BDGE","Bridge Bancorp, Inc. - Common Stock","Y",NA,NA
"BDSI","BioDelivery Sciences International, Inc. - Common Stock","Y",341.82,98.56
"BDTX","Black Diamond Therapeutics, Inc. - Common Stock","Y",851.4,34.84
"BEAM","Beam Therapeutics Inc. - Common Stock","Y",4500,48.66
"BEAT","BioTelemetry, Inc. - Common Stock","Y",NA,NA
"BECN","Beacon Roofing Supply, Inc. - Common Stock","Y",3830,55.28
"BEEM","Beam Global - Common Stock","Y",280.22,6.54
"BELFA","Bel Fuse Inc. - Class A Common Stock","Y",NA,NA
"BELFB","Bel Fuse Inc. - Class B Common Stock","Y",182.25,NA
"BFC","Bank First Corporation - Common Stock","Y",NA,NA
"BFIN","BankFinancial Corporation - Common Stock","Y",152.29,13.1
"BFRA","Biofrontera AG - American Depositary Shares","Y",155.97,17.49
"BFST","Business First Bancshares, Inc. - Common Stock","Y",491.83,18.91
"BGCP","BGC Partners, Inc. - Class A Common Stock","Y",2170,291.18
"BGFV","Big 5 Sporting Goods Corporation - Common Stock","Y",374.24,19.95
"BGNE","BeiGene, Ltd. - American Depositary Shares","Y",27440,63.27
"BHAT","Blue Hat Interactive Entertainment Technology - Ordinary Shares","Y",52.09,23.33
"BHF","Brighthouse Financial, Inc. - Common Stock","Y",4050,87.33
"BHFAL","Brighthouse Financial, Inc. - Junior Subordinated Debentures due 2058","Y",NA,NA
"BHFAO","Brighthouse Financial, Inc. - Depositary Shares, each representing a 1/1,000th interest in a share of 6.750% Non-Cumulative Preferred Stock, Series B","Y",NA,NA
"BHFAP","Brighthouse Financial, Inc. - Depositary Shares 6.6% Non-Cumulative Preferred Stock, Series A","Y",NA,NA
"BHTG","BioHiTech Global, Inc. - Common Stock","Y",33.42,18.16
"BIDU","Baidu, Inc. - American Depositary Shares, each representing one tenth Class A ordinary share","Y",73060,267.22
"BIGC","BigCommerce Holdings, Inc. - Series 1 Common Stock","Y",3920,37.71
"BIIB","Biogen Inc. - Common Stock","Y",41010,151.36
"BILI","Bilibili Inc. - American Depositary Shares","Y",40050,293.37
"BIMI","BOQI International Medical Inc. - Common Stock","Y",29,8.28
"BIOC","Biocept, Inc. - Common Stock","Y",55.85,13.4
